zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.0986122886681096,3.9318256327243257,7.640603826393634
0,0,0,1,1.0986122886681096,4.02535169073515,7.0909098220799835
0,0,0,1,0.6931471805599453,3.8501476017100584,7.972810784121404
1,0,0,0,1.0986122886681096,5.303304908059076,8.101980731853192
1,0,0,0,1.3862943611198906,4.110873864173311,7.562681246721884
1,0,0,0,1.0986122886681096,4.060443010546419,7.00397413672268
0,0,1,0,1.0986122886681096,4.2626798770413155,7.5352967024440884
0,0,0,1,1.0986122886681096,4.110873864173311,7.353081920515432
0,0,1,0,1.3862943611198906,4.59511985013459,7.972810784121404
0,0,0,1,1.3862943611198906,4.2626798770413155,7.400009517162692
0,1,0,0,1.3862943611198906,4.290459441148391,7.8636512654486515
1,0,0,0,1.0986122886681096,4.890349128221754,7.780303087908373
0,1,0,0,1.0986122886681096,3.9318256327243257,7.32052696227274
0,0,0,1,0.6931471805599453,3.828641396489095,8.143807976771484
1,0,0,0,1.6094379124341003,5.267858159063328,8.566173813637858
1,0,0,0,1.3862943611198906,5.198497031265826,8.294299608857235
0,0,1,0,0.6931471805599453,3.8918202981106265,8.291797105048733
0,0,0,1,1.0986122886681096,4.61512051684126,8.24301946898925
0,0,1,0,1.3862943611198906,4.844187086458591,8.222553638396958
0,0,0,1,0.6931471805599453,3.713572066704308,8.188966863648876
0,0,0,1,1.0986122886681096,4.2626798770413155,8.09101504171053
0,0,1,0,1.0986122886681096,3.8918202981106265,6.90875477931522
1,0,0,0,1.3862943611198906,5.225746673713202,8.294299608857235
0,0,1,0,1.3862943611198906,4.23410650459726,8.294299608857235
0,1,0,0,1.0986122886681096,4.454347296253507,7.208600337960199
0,0,0,1,1.0986122886681096,4.189654742026425,8.412054873292933
0,1,0,0,1.0986122886681096,4.23410650459726,7.3783837129967145
0,0,0,1,1.3862943611198906,4.812184355372417,8.314097335405807
1,0,0,0,1.3862943611198906,5.5254529391317835,8.006700845440367
0,0,0,1,1.3862943611198906,4.770684624465665,8.699681400989514
0,0,1,0,1.0986122886681096,3.9318256327243257,7.691656822810547
0,0,0,1,1.3862943611198906,4.976733742420574,8.294299608857235
0,0,1,0,0.6931471805599453,3.9512437185814275,7.937731775260109
0,0,0,1,1.0986122886681096,4.189654742026425,8.071218539969863
0,1,0,0,1.0986122886681096,4.23410650459726,8.046229101075378
0,1,0,0,1.0986122886681096,4.61512051684126,7.496097345175956
0,0,1,0,1.0986122886681096,4.110873864173311,8.026496938945412
1,0,0,0,1.0986122886681096,3.713572066704308,7.919719760924575
1,0,0,0,1.0986122886681096,4.04305126783455,7.5352967024440884
0,1,0,0,1.0986122886681096,3.828641396489095,6.90875477931522
0,1,0,0,0.6931471805599453,3.713572066704308,7.313886831633462
0,0,0,1,1.6094379124341003,5.638354669333745,9.200391041122515
0,1,0,0,1.0986122886681096,3.9318256327243257,7.244941546337007
0,1,0,0,1.0986122886681096,3.9318256327243257,7.550135342488429
