zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,1,0,0,0.6931471805599453,5.017279836814924,7.00397413672268
0,0,0,1,1.0986122886681096,3.8918202981106265,7.31455283232408
0,1,0,0,1.3862943611198906,5.375278407684165,7.824445930877619
1,0,0,0,1.0986122886681096,4.02535169073515,7.496097345175956
0,0,0,1,1.3862943611198906,4.804021044733257,8.006700845440367
0,0,0,1,1.0986122886681096,4.060443010546419,7.313886831633462
0,0,0,1,1.3862943611198906,5.5254529391317835,9.305741456739435
0,1,0,0,1.0986122886681096,3.8066624897703196,7.529406457837013
1,0,0,0,1.0986122886681096,3.713572066704308,7.1316985104669115
1,0,0,0,1.0986122886681096,5.802118375377063,7.844240718141811
0,0,0,1,1.3862943611198906,4.1588830833596715,8.006700845440367
0,0,1,0,0.6931471805599453,4.02535169073515,7.601402334583733
1,0,0,0,1.0986122886681096,4.804021044733257,7.735870319952567
0,0,1,0,1.0986122886681096,4.110873864173311,7.280008252884188
0,0,0,1,1.3862943611198906,3.828641396489095,7.273092595999522
0,0,1,0,1.0986122886681096,4.110873864173311,8.071218539969863
0,1,0,0,1.3862943611198906,4.2626798770413155,7.83241092718792
0,0,1,0,1.0986122886681096,4.110873864173311,7.989899374942939
0,0,0,1,1.3862943611198906,4.394449154672439,7.601402334583733
1,0,0,0,1.0986122886681096,4.110873864173311,7.550135342488429
1,0,0,0,1.0986122886681096,5.303304908059076,7.353081920515432
0,0,1,0,1.0986122886681096,4.110873864173311,7.640603826393634
0,0,0,1,1.0986122886681096,5.958424693029782,9.90353755128617
1,0,0,0,1.0986122886681096,4.875197323201151,8.160803920954665
0,0,1,0,1.3862943611198906,4.330733340286331,7.244941546337007
0,0,1,0,0.6931471805599453,3.828641396489095,7.741099090035366
0,0,0,1,1.0986122886681096,4.02535169073515,7.576097340623111
0,0,0,1,1.0986122886681096,3.713572066704308,7.353081920515432
0,0,1,0,1.0986122886681096,4.2626798770413155,8.581294116822761
0,0,0,1,1.0986122886681096,4.605170185988092,8.026496938945412
0,0,0,1,1.3862943611198906,5.351858133476067,9.305741456739435
1,0,0,0,1.0986122886681096,4.2626798770413155,7.244941546337007
0,0,1,0,0.6931471805599453,4.110873864173311,7.5352967024440884
1,0,0,0,1.3862943611198906,4.955827057601261,7.696667081526462
0,0,1,0,0.6931471805599453,4.110873864173311,7.601402334583733
1,0,0,0,1.3862943611198906,4.795790545596741,7.438971592395862
0,0,0,1,0.6931471805599453,2.772588722239781,13.304686600863562
0,1,0,0,0.6931471805599453,3.6635616461296463,13.617060838751888
0,1,0,0,1.3862943611198906,4.787491742782046,8.478660241699453
0,0,0,1,1.3862943611198906,4.394449154672439,8.026496938945412
1,0,0,0,0.6931471805599453,1.9459101490553132,12.608202196848836
1,0,0,0,1.0986122886681096,3.9889840465642745,13.758941264676379
0,0,0,1,1.0986122886681096,4.51085950651685,8.24301946898925
